Time,ID,X,Y,Z
1433450463.43,32256,36292,51455,65025
1433450472.07,50376,37890,2562,430
1433450472.23,37376,65534,257,0
1433450475.04,32256,36292,51455,65025
1433450486.52,37376,65534,257,0
1433450497.45,64,14,422,528
1433450505.86,32051,257,0,3585
1433450510.77,257,65432,32256,5778
1433450525.35,528,32051,41472,16525
1433450526.06,14,32256,5778,125
1433450530.09,51455,528,511,39550
1433450537.95,3585,5778,125,13218
1433450540.45,37376,65534,257,0
1433450544.18,65534,3841,65435,32256
1433450565.7,12545,13218,64,36292
1433450572.89,37376,65534,257,0
1433450597.82,512,41472,16525,50376
1433450602.2,32256,36292,51455,65025
1433450605.22,65534,3841,65435,32256
