Time,ID,X,Y,Z
1433448821.21,47679,425,637,12546
1433448821.61,47679,425,637,12546
1433448822.12,47679,427,525,516
1433448822.17,47679,426,528,517
1433448822.22,47679,425,530,517
1433448822.37,47679,417,535,518
1433448822.43,47679,426,528,515
1433448822.52,47679,439,540,516
1433448822.57,47679,417,526,526
1433448822.62,47679,421,526,528
1433448822.67,47679,419,516,516
1433448822.72,47679,427,515,516
1433448822.76,47679,428,511,515
1433448822.83,47679,422,505,492
1433448822.88,47679,421,506,489
1433448822.92,47679,434,507,524
1433448822.97,47679,432,527,580
1433448823.02,47679,418,539,594
1433448823.12,47679,420,513,530
1433448823.16,47679,424,515,510
1433448823.23,47679,420,514,486
1433448823.28,47679,424,516,488
1433448823.32,47679,428,499,499
1433448823.37,47679,431,508,537
1433448823.42,47679,428,511,570
1433448823.47,47679,420,513,581
1433448823.52,47679,419,510,555
1433448823.56,47679,423,503,523
1433448823.63,47679,423,504,500
1433448823.67,47679,416,519,452
1433448823.72,47679,421,501,487
1433448823.77,47679,433,517,546
1433448823.82,47679,432,522,564
1433448823.87,47679,433,521,568
1433448823.91,47679,425,516,546
1433448824.03,47679,413,510,503
1433448824.08,47679,416,507,492
1433448824.12,47679,415,494,495
1433448824.17,47679,431,511,537
1433448824.22,47679,439,518,584
1433448824.31,47679,428,515,538
1433448824.38,47679,426,504,509
1433448824.43,47679,414,501,472
1433448824.47,47679,421,502,478
1433448824.52,47679,439,503,540
1433448824.57,47679,435,527,581
1433448824.62,47679,431,521,581
1433448824.67,47679,427,514,543
1433448824.71,47679,425,508,517
1433448824.78,47679,418,505,490
1433448824.83,47679,412,503,471
1433448824.87,47679,437,496,511
1433448824.92,47679,436,501,550
1433448824.97,47679,442,512,595
1433448825.02,47679,432,518,571
1433448825.07,47679,428,507,537
1433448825.11,47679,426,507,517
1433448825.18,47679,417,504,491
1433448825.22,47679,414,506,481
1433448825.27,47679,429,501,509
1433448825.32,47679,432,518,555
1433448825.37,47679,432,518,562
1433448825.42,47679,422,515,547
1433448825.46,47679,421,515,532
1433448825.51,47679,420,519,518
1433448825.58,47679,422,517,517
1433448825.62,47679,424,510,527
1433448825.67,47679,418,508,538
1433448825.72,47679,414,502,542
1433448825.77,47679,414,507,536
1433448825.82,47679,419,507,532
1433448825.91,47679,419,511,530
1433448825.98,47679,419,507,534
1433448826.03,47679,417,510,532
1433448826.07,47679,419,507,533
1433448826.17,47679,418,508,532
1433448826.22,47679,415,507,533
1433448826.26,47679,418,513,533
1433448826.33,47679,420,510,533
1433448826.42,47679,421,516,533
1433448826.47,47679,419,515,533
1433448826.52,47679,419,512,536
1433448826.57,47679,419,516,532
1433448826.66,47679,418,516,526
1433448826.73,47679,420,519,525
1433448826.78,47679,418,520,521
1433448826.82,47679,418,514,525
1433448826.87,47679,426,506,561
1433448826.92,47679,418,499,561
1433448826.97,47679,422,511,533
1433448827.02,47679,422,514,516
1433448827.06,47679,420,514,509
1433448827.13,47679,421,510,500
1433448827.17,47679,417,509,494
1433448827.22,47679,435,494,532
1433448827.32,47679,416,491,569
1433448827.37,47679,422,507,538
1433448827.41,47679,424,510,517
1433448827.46,47679,422,512,502
1433448827.53,47679,420,514,488
